model,mitigation,decoding,benchmark,bias_type,n_items,n_disambiguated,n_ambiguous,accuracy_supported,bias_ambiguous,unknown_rate_ambiguous,confidence_correct,confidence_incorrect_stereotype,spr,spr_ci_low,spr_ci_high,lms,ss,icat
mistralai/Mistral-7B-v0.1,baseline,deterministic,bbq,gender,14,5.0,9.0,0.4,0.2222222222222222,0.0,1.0,1.0,,,,,,
mistralai/Mistral-7B-v0.1,baseline,deterministic,bbq,race,6,4.0,2.0,0.0,0.5,0.0,,1.0,,,,,,
mistralai/Mistral-7B-v0.1,baseline,deterministic,crows_pairs,gender,2,,,,,,,,100.0,100.0,100.0,,,
mistralai/Mistral-7B-v0.1,baseline,deterministic,crows_pairs,race,13,,,,,,,,61.53846153846154,38.46153846153847,84.61538461538461,,,
mistralai/Mistral-7B-v0.1,baseline,deterministic,stereoset,gender,3,,,,,,,,66.66666666666666,0.0,100.0,100.0,66.66666666666666,66.66666666666669
mistralai/Mistral-7B-v0.1,baseline,deterministic,stereoset,race,12,,,,,,,,33.33333333333333,8.333333333333332,58.333333333333336,100.0,33.33333333333333,66.66666666666666
